StoryNumber,ID,Name ,Story ,  LeftOneImage, RightOneImage ,LeftTwoImage,RightTwoImage,LeftOne ,RightOne ,  LeftTwo ,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions
1,0,ヒュー,みんな、準備はいいか,0,0,0,0,ON,OFF,OFF,OFF,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,1,キース,銃よし,0,0,0,0,SHADE,OFF,OFF,ON,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,2,ケン,拳よし！,0,0,0,0,SHADE,OFF,ON,SHADE,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,3,アイン,ぜーんぶよし！,0,0,0,0,SHADE,ON,SHADE,SHADE,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,4,ヒュー,行くぞ！ 俺たちの強さを見せてやる！,0,0,0,0,ON,SHADE,SHADE,SHADE,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,5,ローフ,騒がしい！ 何のパレードだ,0,0,0,0,OFF,OFF,OFF,ON,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,6,ファイター,JPZの小部隊です！ ボス、どうします？,0,0,0,0,ON,OFF,OFF,SHADE,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,7,ローフ,格の違いをみせつけてやれ！,0,0,0,0,SHADE,OFF,OFF,ON,0,Story1After,0,9,1,赤光、白熱,Story,ボスの撃破
1,8,ファイター,へい！,0,0,0,0,ON,OFF,OFF,SHADE,0,Story1After,9,14,1,赤光、白熱,Story,ボスの撃破
1,9,ヒュー,くっ…,0,0,0,0,ON,OFF,OFF,OFF,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,10,ファイター,大したことないヤツ！ とっととやっちゃいましょ…,0,0,0,0,SHADE,OFF,OFF,ON,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,11,ファイター,ん？,0,0,0,0,SHADE,OFF,OFF,ON,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,12,ジェーコブ,…,0,0,0,0,SHADE,ON,OFF,OFF,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,13,ヒュー,…誰だ？ 味方か？,0,0,0,0,ON,SHADE,OFF,OFF,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,14,ゲイリー,…いや、あんな爺さんは知らんが,0,0,0,0,SHADE,SHADE,ON,OFF,0,Story1After,16,14,1,赤光、白熱,Story,ボスの撃破
1,15,ヒュー,うーん…ともあれ、これはチャンス！ 行くぞ！,0,0,0,0,ON,SHADE,SHADE,OFF,0,Story1After,16,15,1,赤光、白熱,Story,ボスの撃破
1,16,ローフ,くそ、邪魔な奴らめ！,0,0,0,0,OFF,OFF,OFF,ON,0,Story1After,17,17,1,赤光、白熱,Story,ボスの撃破
1,17,ローフ,ぐえっ… 死にたくねえ…,0,0,0,0,OFF,OFF,OFF,ON,1,Story1After,0,0,1,赤光、白熱,Story,ボスの撃破
