StoryNumber,ID,Name ,Story ,LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions
1,0,ヒュー,な、なんとかなったな,0,0,0,0,ON,OFF,OFF,OFF,0,Story2Before,0,30,0,赤光、白熱,Story,Story
1,1,ジェーコブ,…,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,2,ヒュー,助かった、えーっと…,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,3,ヒュー,！,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,4,ジェーコブ,お前の味方だと言ったつもりはないが…,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,5,ヒュー,うぐぐ…,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,6,ジェーコブ,？ これは…,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,7,ヒュー,…な、なんだ？,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,8,ジェーコブ,…お前、名は？,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,9,ヒュー,はぁ？ 何が目的だ,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,10,ジェーコブ,…,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,11,ヒュー,わ、わかった！言うよ！ ヒュー、ヒュー・エヴァンスだ！,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,30,,,,
1,12,ジェーコブ,ヒュー… 私はジェーコブ,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,13,ジェーコブ,老後旅行だ、お前たちに力を貸そう,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,30,,,,
1,14,アイン,…何のつもりだ？ ジェーコブ、名前も嘘くせえ。,0,1,0,5,SHADE,ON,OFF,SHADE,0,,0,30,,,,
1,15,アイン,急に現れて、敵味方関わらず銃を向けるヤツ、信用できるかよ,0,1,0,5,SHADE,ON,OFF,SHADE,0,,0,30,,,,
1,16,ジェーコブ,そういうお前も、地下の人間にしては随分高貴なお顔だ,0,1,0,5,SHADE,SHADE,OFF,ON,0,,0,30,,,,
1,17,アイン,ぐっ…,0,1,0,5,SHADE,ON,OFF,SHADE,0,,0,30,,,,
1,18,ヒュー,…分かった。俺たちは弱い。あんたの力が必要だ。,0,1,0,5,ON,SHADE,OFF,SHADE,0,,0,30,,,,
1,19,ヒュー,だが、この部隊のリーダーは俺だ。,0,1,0,5,ON,SHADE,OFF,SHADE,0,,0,30,,,,
1,20,ヒュー,俺の目的…敵対組織の撃滅と上の世界を目指すこと。これに従ってもらえないと困る,0,1,0,5,ON,SHADE,OFF,SHADE,0,,0,30,,,,
1,21,ジェーコブ,助力を申し出た時点で、それは承知の上。お前に力を尽くそう,0,1,0,5,SHADE,SHADE,OFF,ON,1,,0,30,,,,
